h,r,t,count,source
covered entity, comply, State and federal requirements,1,['State Law']
HHS, determines, contrary State law,1,['State Law']
Privacy Rule, establishes, national standards,1,['Enforcement and Penalties for Noncompliance']
Privacy Rule, use and disclosure, protected health information,1,['Enforcement and Penalties for Noncompliance']
Privacy Rule, provides, privacy rights,1,['Enforcement and Penalties for Noncompliance']
OCR, responsible for, administering and enforcing standards,1,['Enforcement and Penalties for Noncompliance']
OCR, may conduct, complaint investigations and compliance reviews,1,['Enforcement and Penalties for Noncompliance']
OCR, seek, cooperation of covered entities,1,['Enforcement and Penalties for Noncompliance']
OCR, provide, technical assistance,1,['Enforcement and Penalties for Noncompliance']
violations of Privacy Rule, subject to, criminal prosecution,1,['Enforcement and Penalties for Noncompliance']
OCR, may impose, penalty on covered entity,1,['Enforcement and Penalties for Noncompliance']
Penalties, will vary, depending on factors,1,['Enforcement and Penalties for Noncompliance']
Penalties, may not exceed, calendar year cap,1,['Enforcement and Penalties for Noncompliance']
OCR, may make annual adjustments, CMP amounts,1,['Enforcement and Penalties for Noncompliance']
Penalty, will not be imposed, violations in certain circumstances,1,['Enforcement and Penalties for Noncompliance']
OCR, may choose to reduce, penalty,1,['Enforcement and Penalties for Noncompliance']
OCR, will notify, covered entity before imposing a penalty,1,['Enforcement and Penalties for Noncompliance']
HIPAA Privacy Rule, creates, national standards,1,['FAQ']
national standards, protect, individuals’ medical records and other personal health information,1,['FAQ']
patients, control, their health information,1,['FAQ']
HIPAA Privacy Rule, sets boundaries on, use and release of health records,1,['FAQ']
HIPAA Privacy Rule, establishes, appropriate safeguards that health care providers and others must achieve to protect the privacy of health information,1,['FAQ']
HIPAA Privacy Rule, holds, violators accountable with civil and criminal penalties if they violate patients’ privacy rights,1,['FAQ']
public responsibility, supports disclosure of, some forms of data to protect public health,1,['FAQ']
patients, find out, how their information may be used and about certain disclosures of their information that have been made,1,['FAQ']
HIPAA Privacy Rule, generally gives, patients the right to examine and obtain a copy of their own health records and request corrections,1,['FAQ']
HIPAA Privacy Rule, empowers, individuals to control certain uses and disclosures of their health information,1,['FAQ']
covered entity, share, protected health information,1,['FAQ']
covered entity, obtain, individual’s prior written authorization,1,['FAQ']
covered entity, enter into, business associate relationship,1,['FAQ']
telemarketer, use, information,1,['FAQ']
business associate, use, information only for communicating on behalf of the covered entity,1,['FAQ']
health care provider, share, health information,1,['FAQ']
health care provider, discuss, health information,1,['FAQ']
health care provider, ask permission, share/discuss health information,1,['FAQ']
health care provider, use professional judgment, to determine sharing/discussing health information,1,['FAQ']
health care provider, discuss, information that the person involved needs to know,1,['FAQ']
emergency room doctor, discuss, treatment with friend,1,['FAQ']
hospital, discuss, bill with daughter,1,['FAQ']
doctor, talk, keeping foot raised with sister,1,['FAQ']
doctor, discuss, drugs with health aide,1,['FAQ']
nurse, tell, brother how patient is doing,1,['FAQ']
nurse, discuss, health status with brother,1,['FAQ']
nurse, not discuss, condition with brother if patient requested so,1,['FAQ']
health care provider, shares/discusses, family/friends/others involved in care or payment for care,1,['FAQ']
you, not around/cannot give permission, health care provider shares/discusses health information with family/friends/others involved in care or payment for care,1,['FAQ']
health care provider, believes, sharing/discussing health information with family/friends/others involved in care or payment for care is in your best interest,1,['FAQ']
health care provider, shares, information face-to-face/over the phone/in writing,1,['FAQ']
health care provider, shares, only the information family member/friend/other person needs to know about your care or payment for your care,1,['FAQ']
health care provider, verifies, identity of person calling,1,['FAQ']
pharmacist, gives, prescription to person you send to pick it up,1,['FAQ']
doctor, discusses, drugs with caregiver who calls with question about dosage,1,['FAQ']
nurse, does not tell, friend about past medical problem unrelated to current condition,1,['FAQ']
health care provider, shares, health information with interpreter who works for the provider,1,['FAQ']
health care provider, discusses, health information with interpreter who does not work for the provider if you do not object,1,['FAQ']
surgeon, tells, spouse about your condition while you are unconscious,1,['FAQ']
